Name,sat_score,Number of Exams with scores 3 4 or 5,AVERAGE CLASS SIZE,total_enrollment,ell_percent,asian_per,black_per,white_per,hispanic_per,male_per,female_per,school_dist,saf_s_11
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES   ,1122,153.45,22.56428571,422,22.3,14,29.1,1.7,53.8,61.4,38.6,1,6
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL             ,1172,10,22.23125,394,21.1,29.2,22.6,2.3,45.9,57.4,42.6,1,6
EAST SIDE COMMUNITY HIGH SCHOOL                 ,1149,153.45,21.2,598,5,9.7,23.9,10.4,55.4,54.7,45.3,1,6.611666667
MARTA VALLE SECONDARY SCHOOL                    ,1207,153.45,23.57142857,367,11.2,9.3,31.6,1.6,56.9,46.3,53.7,1,6.4
NEW EXPLORATIONS INTO SCIENCE TECH AND MATH     ,1621,191,25.51052632,1613,0.2,27.8,11.7,44.9,14.2,49.2,50.8,1,7.3
BARD HIGH SCHOOL EARLY COLLEGE                  ,1856,153.45,20.975,617,0.2,15.1,15.1,49.8,18.2,31.3,68.7,1,8.3
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,1182,153.45,16.07272727,174,8,1.7,32.2,6.3,59.2,42.5,57.5,2,7.3
FOOD AND FINANCE HIGH SCHOOL                    ,1194,153.45,22.68333333,433,2.1,3,44.1,4.8,47.6,45,55,2,6.2
HIGH SCHOOL FOR HISTORY & COMMUNICATION         ,1156,153.45,14.9,343,3.8,4.1,27.7,7.6,60.6,53.4,46.6,2,7.4
HIGH SCHOOL OF HOSPITALITY MANAGEMENT           ,1111,153.45,22.96428571,419,9.5,5.3,26.5,2.1,66.1,32.2,67.8,2,7.1
PACE HIGH SCHOOL                                ,1293,153.45,21.3125,414,2.2,10.1,32.4,3.9,42,43.7,56.3,2,6.6
URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,1269,10,22.64166667,431,10.9,6,29.2,4.9,59.2,74.9,25.1,2,6.5
THE FACING HISTORY SCHOOL                       ,1051,153.45,21.85,451,20.8,0.7,23.5,2.4,73.2,50.6,49.4,2,7
THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,1148,15,20.8,312,6.1,3.8,41.7,3.5,50.6,43.9,56.1,2,6
LOWER MANHATTAN ARTS ACADEMY                    ,1200,153.45,23.25,336,3.9,9.5,30.7,3.6,55.7,39.9,60.1,2,6.6
